License No,Agency Name,Name of the Proprietor,Status,License Eeffective Date,License Renew Date,License Exp Date,Division,District,Thana
0006727,"At Earth Bd (Pvt) Ltd","MEHERUN NESA ISLAM","License expired","03-Mar-2016",,"02-Mar-2019",,,
0006728,"Al Raji Hajj Travels ","MD HAMIDUL ISLAM","License expired","03-Mar-2016",,"02-Mar-2019",,,
0003642,"K.M. Aviation","ABDUL KADER ","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006730,"Arafat Tours and Travels","MD NAZRUL ISLAM","License expired","03-Mar-2016",,"02-Mar-2019",,,
0006731,"Adventure Tours and Travels","MD NURUDDIN CHOWDHURY","License expired","06-Mar-2016",,"05-Mar-2019",,,
0006733,"Ayat Network Ltd","TAHSIN AMAN","License expired","24-Mar-2016",,"22-Mar-2019",,,
0006737,"Ababil Tours and Travels","MD SHORIFUL ISLAM","License expired","24-Apr-2016",,"23-Apr-2019",,,
0006738,"Air Bd Travels Service","MD NURUL ISLAM","License expired","27-Apr-2016",,"23-Apr-2019",,,
0006744,"Asia Tours and Travels International","MD SELIMULLAH MIYA","License expired","10-May-2016",,"08-May-2019",,,
0006745,"Air Abroad Ltd","SANJIDA AFRIN","License expired","10-May-2016","01-Jan-1970","08-May-2019",,,
0006753,"A M Sultan Air International ","SULTAN AHMED","License expired","15-May-2016",,"14-May-2019",,,
0006777,"Air Way Travels International","MD ABUL KASHEM","License expired","18-Dec-2016",,"17-Dec-2019",,,
0006779,"Air Glory Ltd","M SHAHIDUR RAHMAN","License expired","28-Nov-2016","28-Nov-2016","27-Nov-2019",,,
0003637,"Kazi Aviation Services Ltd.","Kazi Mosharraf Hossain","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0011019,"Insaf Travels and Tours","Md. Hasan Masud","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0008466,"Las-Co Holidays ","JAFOR SAHRIAR","License expired","09-May-2017",,"08-May-2020",,,
0008462,"Luxury Travels and Tours","MD AHSAN ULLAH","License expired","03-May-2017","03-May-2017","02-May-2020",,,
0003672,"Kite Tourism","Rafia Basar","License expired","12-Dec-2016",,"31-Dec-2019",,,
0003673,"J & J Travels","Mrs. Farida Iasmin","License expired","18-Dec-2016",,"31-Dec-2019",,,
0011423,"Kosba Air International Ltd","Md.Akram Hosen","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0003676,"Johir Air Travels and Tours Ltd.","Abdul Johurul Islam","License expired","23-Jan-2017","01-Jan-2017","23-Jan-2020",,,
